phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,260,95.90491826134014,0.0,0.0,0.0,0.6117054751415985,0.38829452485840155,242.5547331342972,0.14590763465296586,4511031.0,3020000.0,3340629.0,0.25945332674503896,0.740546673254961,0.6123348017621145,0.3876651982378855,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,1.0,0.02,0.0,260,92.73673086671764,0.0,0.0,0.0,0.6142227816236627,0.38577721837633727,241.92218220515502,0.1427056292581985,4534921.0,3047421.0,3406651.0,0.2487959547696641,0.7512040452303359,0.6148521082441787,0.38514789175582126,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,3,80013,1.0,0.02,0.0,260,88.02580711054483,0.0,0.0,0.0,0.6079295154185023,0.39207048458149774,242.24786683435823,0.13878219679453563,4555619.0,3050000.0,3486629.0,0.23465307349012288,0.7653469265098771,0.6085588420390182,0.3914411579609817,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,4,80014,1.0,0.02,0.0,260,96.65859202634898,0.0,0.0,0.0,0.6217747010698553,0.37822529893014467,242.9710653969744,0.14243871308924308,4569586.0,3119048.0,3374594.0,0.261509904836018,0.738490095163982,0.6224040276903713,0.3775959723096287,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,5,80015,1.0,0.02,0.0,260,91.7427816476641,0.0,0.0,0.0,0.6198867212083071,0.3801132787916929,242.3919226514102,0.12836534767085286,4548019.0,3087451.0,3436040.0,0.24449743943461977,0.7555025605653802,0.6205160478288232,0.37948395217117686,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,6,80016,1.0,0.02,0.0,260,94.57852719213359,0.0,0.0,0.0,0.6073001887979861,0.3926998112020139,243.21831003001708,0.13622889367408048,4524787.0,3024610.0,3375544.0,0.2539883092839508,0.7460116907160492,0.6073001887979861,0.39269981120201386,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,7,80017,1.0,0.02,0.0,260,95.13852751819235,0.0,0.0,0.0,0.6135934550031467,0.38640654499685334,242.23399693603568,0.13907328022043533,4564531.0,3084991.0,3397308.0,0.2557158665370002,0.7442841334629998,0.6142227816236627,0.3857772183763373,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,8,80018,1.0,0.02,0.0,260,92.24558134744508,0.0,0.0,0.0,0.590937696664569,0.40906230333543103,240.6948876693061,0.14180626899055357,4531135.0,2959803.0,3415296.0,0.2462603740563899,0.7537396259436101,0.5915670232850849,0.408432976714915,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,9,80019,1.0,0.02,0.0,260,77.22274125688975,0.0,0.0,0.0,0.5752045311516677,0.4247954688483323,240.72133756190232,0.11630787455186925,4558542.0,2917209.0,3681854.0,0.19231763138301672,0.8076823686169833,0.5758338577721838,0.42416614222781623,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,10,80020,1.0,0.02,0.0,260,88.79212205156347,0.0,0.0,0.0,0.590937696664569,0.40906230333543103,240.54956839472288,0.1282669510151868,4528615.0,2957180.0,3448808.0,0.23844089197249052,0.7615591080275095,0.590937696664569,0.4090623033354311,100.0,0.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,1.0,0.02,0.0,260,138.4860962913708,0.0,0.0,0.0,0.8105726872246696,0.18942731277533043,241.75061962328877,0.2065384292543572,4541552.0,3852587.0,2570834.0,0.43393051538328753,0.5660694846167125,0.8105726872246696,0.1894273127753304,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,1.0,0.02,0.0,260,130.35360175680157,0.0,0.0,0.0,0.7809943360604154,0.21900566393958465,240.45543435860262,0.1816427137678822,4540527.0,3729971.0,2695556.0,0.4063341105558892,0.5936658894441108,0.7816236626809314,0.2183763373190686,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,3,80013,1.0,0.02,0.0,260,134.6953233782995,0.0,0.0,0.0,0.7847702957835117,0.21522970421648835,242.89709872168092,0.20035828187723165,4584435.0,3793589.0,2677545.0,0.4159487483190404,0.5840512516809596,0.7853996224040277,0.2146003775959723,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,4,80014,1.0,0.02,0.0,260,137.0472402168539,0.0,0.0,0.0,0.8105726872246696,0.18942731277533043,243.72198373319975,0.19765911306980757,4543420.0,3851444.0,2607504.0,0.42609223888612546,0.5739077611138745,0.8112020138451856,0.18879798615481436,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,5,80015,1.0,0.02,0.0,260,142.70687576477945,0.0,0.0,0.0,0.8363750786658275,0.1636249213341725,243.1016628109699,0.21673911747369543,4522748.0,3937791.0,2474392.0,0.4529007585653678,0.5470992414346322,0.8363750786658275,0.16362492133417245,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,6,80016,1.0,0.02,0.0,260,121.92006968329272,0.0,0.0,0.0,0.7570799244808055,0.24292007551919448,242.19119736305822,0.1825668412132071,4541600.0,3640261.0,2872927.0,0.3674196318478069,0.6325803681521931,0.7577092511013216,0.2422907488986784,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,7,80017,1.0,0.02,0.0,260,128.5577258789793,0.0,0.0,0.0,0.775330396475771,0.22466960352422904,239.36692579679797,0.2052340415160089,4552199.0,3721151.0,2737309.0,0.3986842402979307,0.6013157597020693,0.7759597230962869,0.22404027690371303,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,8,80018,1.0,0.02,0.0,260,134.43121485428406,0.0,0.0,0.0,0.8143486469477659,0.18565135305223412,241.91497216930213,0.20117978609333867,4562336.0,3889092.0,2665959.0,0.4156592149284928,0.5843407850715072,0.8149779735682819,0.18502202643171806,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,9,80019,1.0,0.02,0.0,260,144.09139773246469,0.0,0.0,0.0,0.8363750786658275,0.1636249213341725,241.80251296656098,0.24220022108154526,4547954.0,3957555.0,2481507.0,0.45436849185369954,0.5456315081463005,0.8363750786658275,0.16362492133417245,0.0,100.0,0.0
